Product Name,GPU Chip,Release Date,Bus,Memory,GPU Clock,Memory Clock,Shaders/TMUs/ROPs
Radeon 9100,R200,"Apr 1st, 2003",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
Radeon 9100 PCI,R200,"Apr 1st, 2003",PCI,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 8 / 4
All-In-Wonder 9000 PRO,RV250,"Mar 31st, 2003",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,270 MHz,4 / 1 / 4 / 4
FireGL 9800 X2-256,R360,"Mar 1st, 2003",AGP 8x,"256 MB, DDR2, 256 bit",380 MHz,350 MHz,8 / 4 / 8 / 8
Mobility Radeon 9200,M9,"Mar 1st, 2003",AGP 4x,"32 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 1 / 4 / 4
Radeon 9200 SE,RV280,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 64 bit",200 MHz,166 MHz,4 / 1 / 4 / 4
Radeon 9800,R350,"Mar 1st, 2003",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,290 MHz,8 / 4 / 8 / 8
Radeon 9800 PRO,R350,"Mar 1st, 2003",AGP 8x,"128 MB, DDR, 256 bit",380 MHz,340 MHz,8 / 4 / 8 / 8
Radeon 9800 SE,R350,"Mar 1st, 2003",AGP 8x,"128 MB, DDR, 256 bit",378 MHz,297 MHz,4 / 4 / 4 / 4
Extreme Graphics 2,Springdale,"Dec 3rd, 2003",FSB,System Shared,200 MHz,System Shared,2 / 0 / 2 / 1
Extreme Graphics 2,Montara,"Dec 3rd, 2003",FSB,System Shared,200 MHz,System Shared,2 / 0 / 1 / 1
i852GM Graphics,Montara,"Dec 3rd, 2003",FSB,System Shared,200 MHz,System Shared,2 / 0 / 1 / 1
Parhelia HR256,Parhelia-512,Sep 2003,PCI-X,"256 MB, DDR, 64 bit",200 MHz,250 MHz,4 / 4 / 16 / 4
Quadro NVS 210S,C51,"Dec 22nd, 2003",PCI,System Shared,425 MHz,System Shared,2 / 1 / 2 / 1
Quadro4 100 NVS,NV17,"Dec 22nd, 2003",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
Quadro4 100 NVS PCI,NV17,"Dec 22nd, 2003",PCI,"64 MB, DDR, 128 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
Quadro4 200 NVS,NV17,"Dec 22nd, 2003",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,2 / 0 / 4 / 2
GeForce 6200 AGP,NV18C,"Dec 14th, 2003",AGP 8x,"128 MB, DDR, 64 bit",230 MHz,66 MHz,2 / 0 / 4 / 2
GeForce4 MX 4000,NV18,"Dec 14th, 2003",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 4000 PCI,NV18C,"Dec 14th, 2003",PCI,"128 MB, DDR, 64 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
GeForce4 MX 4000 Rev. 2,NV18C,"Dec 14th, 2003",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,166 MHz,2 / 0 / 4 / 2
Quadro NVS 280 PCI,NV34B,"Oct 28th, 2003",PCI,"64 MB, DDR, 64 bit",275 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX 5700,NV36,"Oct 23rd, 2003",AGP 8x,"128 MB, DDR, 256 bit",425 MHz,250 MHz,4 / 3 / 4 / 4
GeForce FX 5700 Ultra,NV36,"Oct 23rd, 2003",AGP 8x,"128 MB, GDDR2, 128 bit",475 MHz,453 MHz,4 / 3 / 4 / 4
GeForce FX 5900 Ultra,NV35,"Oct 23rd, 2003",AGP 8x,"256 MB, DDR, 256 bit",450 MHz,425 MHz,4 / 3 / 8 / 4
GeForce FX 5950 Ultra,NV38,"Oct 23rd, 2003",AGP 8x,"256 MB, DDR, 256 bit",475 MHz,475 MHz,4 / 3 / 8 / 4
Quadro FX 3000,NV35,"Jul 22nd, 2003",AGP 8x,"256 MB, DDR, 256 bit",400 MHz,425 MHz,4 / 3 / 8 / 4
Quadro FX 3000G,NV35,"Jul 22nd, 2003",AGP 8x,"256 MB, DDR, 256 bit",400 MHz,425 MHz,4 / 3 / 8 / 4
Quadro FX Go700,NV31,"Jun 25th, 2003",AGP 4x,"128 MB, DDR, 128 bit",295 MHz,295 MHz,4 / 2 / 4 / 4
Quadro4 700 Go GL,NV28,"Jun 5th, 2003",AGP 4x,"64 MB, DDR, 128 bit",199 MHz,223 MHz,4 / 2 / 4 / 4
Quadro FX 500,NV34,"May 21st, 2003",AGP 8x,"128 MB, DDR, 128 bit",270 MHz,240 MHz,4 / 2 / 4 / 4
GeForce FX 5900,NV35,"May 12th, 2003",AGP 8x,"128 MB, DDR, 256 bit",400 MHz,425 MHz,4 / 3 / 8 / 4
GeForce FX 5900 XT,NV35,"May 12th, 2003",AGP 8x,"128 MB, DDR, 256 bit",400 MHz,350 MHz,4 / 3 / 8 / 4
GeForce FX 5900 ZT,NV35,"May 12th, 2003",AGP 8x,"128 MB, DDR, 256 bit",325 MHz,350 MHz,4 / 3 / 8 / 4
GeForce FX 5200 LE,NV34,"Mar 17th, 2003",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,166 MHz,4 / 2 / 4 / 4
GeForce FX 5600 Ultra,NV31,"Mar 17th, 2003",AGP 8x,"128 MB, DDR, 128 bit",400 MHz,400 MHz,4 / 2 / 4 / 4
GeForce FX 5600 XT,NV31,"Mar 17th, 2003",AGP 8x,"128 MB, DDR, 128 bit",235 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX 5600 XT PCI,NV31,"Mar 17th, 2003",PCI,"64 MB, DDR, 128 bit",235 MHz,200 MHz,4 / 2 / 4 / 4
GeForce PCX 5900,NV35,"Mar 17th, 2003",PCIe 1.0 x16,"128 MB, DDR, 256 bit",350 MHz,275 MHz,4 / 3 / 8 / 4
GeForce4 Ti 4800,NV28,"Mar 15th, 2003",AGP 8x,"128 MB, DDR, 128 bit",300 MHz,325 MHz,4 / 2 / 8 / 4
GeForce4 Ti 4800,NV28,"Mar 15th, 2003",AGP 8x,"128 MB, DDR, 128 bit",300 MHz,325 MHz,4 / 2 / 8 / 4
GeForce FX 5100,NV34,"Mar 6th, 2003",AGP 8x,"64 MB, DDR, 64 bit",200 MHz,166 MHz,4 / 2 / 4 / 4
GeForce FX 5200,NV34,"Mar 6th, 2003",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX 5200,NV18C,"Mar 6th, 2003",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,2 / 0 / 4 / 2
GeForce FX 5200 PCI,NV34B,"Mar 6th, 2003",PCI,"256 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX 5200 Rev. 2,NV34B,"Mar 6th, 2003",AGP 8x,"128 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX 5200 Ultra,NV34,"Mar 6th, 2003",AGP 8x,"128 MB, DDR, 128 bit",325 MHz,325 MHz,4 / 2 / 4 / 4
GeForce FX 5200 Ultra Mac Edition,NV34,"Mar 6th, 2003",AGP Pro 8x,"128 MB, DDR, 128 bit",325 MHz,325 MHz,4 / 2 / 4 / 4
GeForce FX 5600,NV31,"Mar 6th, 2003",AGP 8x,"128 MB, DDR, 128 bit",325 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX 5800,NV30,"Mar 6th, 2003",AGP 8x,"128 MB, GDDR2, 128 bit",400 MHz,400 MHz,4 / 3 / 8 / 4
GeForce FX 5800 Ultra,NV30,"Mar 6th, 2003",AGP 8x,"128 MB, GDDR2, 128 bit",500 MHz,500 MHz,4 / 3 / 8 / 4
GeForce FX Go5100,NV34,"Mar 1st, 2003",AGP 8x,"32 MB, DDR, 64 bit",200 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX Go5200,NV34,"Mar 1st, 2003",AGP 8x,"32 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 2 / 4 / 4
GeForce FX Go5200 64M,NV34B,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX Go5250,NV34,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",250 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX Go5300,NV34,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX Go5350,NV34,"Mar 1st, 2003",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,275 MHz,4 / 2 / 4 / 4
GeForce FX Go5600,NV31,"Mar 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4
GeForce FX Go5650,NV31,"Mar 1st, 2003",AGP 8x,"128 MB, DDR, 128 bit",325 MHz,295 MHz,4 / 2 / 4 / 4
Volari Duo V5 Ultra,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR2, 256 bit",350 MHz,500 MHz,2 / 2 / 4 / 2
Volari Duo V5 Ultra,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 256 bit",350 MHz,375 MHz,2 / 2 / 4 / 2
Volari Duo V8 Ultra,XG40,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 256 bit",350 MHz,375 MHz,4 / 2 / 8 / 4
Volari Duo V8 Ultra,XG40,"Sep 15th, 2003",AGP 8x,"128 MB, DDR2, 128 bit",350 MHz,500 MHz,4 / 2 / 8 / 4
Volari V3,XG42,"Sep 15th, 2003",AGP 8x,"128 MB, DDR, 128 bit",200 MHz,200 MHz,2 / 1 / 4 / 2
Volari V3 XT,XG42,"Sep 15th, 2003",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,207 MHz,2 / 1 / 4 / 2
Volari V5,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR2, 128 bit",325 MHz,450 MHz,2 / 2 / 4 / 2
Volari V5,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 128 bit",325 MHz,325 MHz,2 / 2 / 4 / 2
Volari V5 Ultra,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 128 bit",350 MHz,375 MHz,2 / 2 / 4 / 2
Volari V5 Ultra,XG41,"Sep 15th, 2003",AGP 8x,"256 MB, DDR2, 128 bit",350 MHz,500 MHz,2 / 2 / 4 / 2
Volari V8,XG40,"Sep 15th, 2003",AGP 8x,"256 MB, DDR2, 128 bit",300 MHz,450 MHz,4 / 2 / 8 / 4
Volari V8,XG40,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 128 bit",300 MHz,325 MHz,4 / 2 / 8 / 4
Volari V8 Ultra,XG40,"Sep 15th, 2003",AGP 8x,"256 MB, DDR2, 128 bit",350 MHz,500 MHz,4 / 2 / 8 / 4
Volari V8 Ultra,XG40,"Sep 15th, 2003",AGP 8x,"256 MB, DDR, 128 bit",350 MHz,375 MHz,4 / 2 / 8 / 4
Radeon X700 LE,RV410,"Dec 21st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,350 MHz,8 / 6 / 8 / 8
Radeon X850 XT Platinum,R480,"Dec 21st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",540 MHz,590 MHz,16 / 6 / 16 / 16
FireGL V7100,R423,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",493 MHz,475 MHz,16 / 6 / 16 / 16
Mobility Radeon 7000,M6,2004,AGP 4x,"16 MB, DDR, 32 bit",144 MHz,139 MHz,1 / 0 / 3 / 1
Radeon X800,R430,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12
Radeon X800 XL,R480,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,16 / 6 / 16 / 16
Radeon X800 XT,R423,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16
Radeon X800 XT Mac Edition,R423,"Dec 1st, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",475 MHz,500 MHz,16 / 6 / 16 / 16
Radeon X850 PRO,R480,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",507 MHz,520 MHz,12 / 6 / 12 / 12
Radeon X850 XT,R480,"Dec 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",520 MHz,540 MHz,16 / 6 / 16 / 16
Radeon Xpress 200 IGP,RC410,"Nov 8th, 2004",PCI,System Shared,300 MHz,System Shared,2 / 2 / 2 / 2
Radeon Xpress 200 IGP,RS480,"Nov 8th, 2004",PCIe 1.0 x16,System Shared,300 MHz,System Shared,4 / 2 / 4 / 4
Mobility Radeon X800,M28,"Nov 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,400 MHz,12 / 6 / 12 / 12
Radeon X800 SE,R423,"Oct 4th, 2004",PCIe 1.0 x16,"128 MB, DDR, 256 bit",425 MHz,350 MHz,8 / 6 / 8 / 8
All-In-Wonder X800 GT,R430,"Sep 21st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",398 MHz,492 MHz,8 / 6 / 8 / 8
All-In-Wonder X800 XT,R420,"Sep 21st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",500 MHz,500 MHz,16 / 6 / 16 / 16
FireGL V3100,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 64 bit",391 MHz,196 MHz,4 / 2 / 4 / 4
FireGL V3200,RV380,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",500 MHz,350 MHz,4 / 2 / 4 / 4
FireGL V5000,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",425 MHz,430 MHz,8 / 6 / 8 / 8
Radeon X300,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",375 MHz,200 MHz,4 / 2 / 4 / 4
Radeon X300 LE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",325 MHz,200 MHz,4 / 2 / 4 / 4
Radeon X300 SE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 64 bit",325 MHz,200 MHz,4 / 2 / 4 / 4
Radeon X600,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"256 MB, DDR, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4
Radeon X600 PRO,RV380,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4
Radeon X600 PRO,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,300 MHz,4 / 2 / 4 / 4
Radeon X600 SE,RV370,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 64 bit",325 MHz,250 MHz,4 / 2 / 4 / 4
Radeon X600 XT,RV380,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",500 MHz,370 MHz,4 / 2 / 4 / 4
Radeon X700,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,250 MHz,8 / 6 / 8 / 8
Radeon X700 AGP,RV410,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",400 MHz,250 MHz,8 / 6 / 8 / 8
Radeon X700 PRO,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",425 MHz,430 MHz,8 / 6 / 8 / 8
Radeon X700 PRO AGP,RV410,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",425 MHz,472 MHz,8 / 6 / 8 / 8
Radeon X700 XT,RV410,"Sep 1st, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",475 MHz,525 MHz,8 / 6 / 8 / 8
Radeon X800 SE AGP,R420,"Sep 1st, 2004",AGP 8x,"256 MB, DDR, 256 bit",450 MHz,400 MHz,8 / 6 / 8 / 8
Radeon X800 VE AGP,R420,"Sep 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,398 MHz,16 / 6 / 16 / 16
FireGL X3-256,R420,"Aug 3rd, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",491 MHz,454 MHz,12 / 6 / 12 / 12
Mobility FireGL T2e,M11,"Aug 1st, 2004",AGP 4x,"128 MB, DDR, 128 bit",450 MHz,225 MHz,4 / 2 / 4 / 4
Mobility Radeon 9800,M18,"Jul 1st, 2004",AGP 8x,"256 MB, DDR, 256 bit",350 MHz,300 MHz,8 / 4 / 8 / 8
Mobility FireGL V3100,M22,"Jun 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",350 MHz,200 MHz,4 / 2 / 4 / 4
Mobility FireGL V3200,M24,"Jun 1st, 2004",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4
Mobility Radeon 9500,M10,"Jun 1st, 2004",AGP 4x,"128 MB, DDR, 64 bit",230 MHz,190 MHz,4 / 2 / 4 / 4
Mobility Radeon 9550,M12,"Jun 1st, 2004",AGP 4x,"64 MB, DDR, 64 bit",250 MHz,243 MHz,4 / 2 / 4 / 4
Mobility Radeon 9600,M10,"Jun 1st, 2004",AGP 8x,"128 MB, DDR, 64 bit",300 MHz,200 MHz,4 / 2 / 4 / 4
Mobility Radeon 9600 PRO,M10,"Jun 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",333 MHz,200 MHz,4 / 2 / 4 / 4
Mobility Radeon 9700,M11,"Jun 1st, 2004",AGP 8x,"64 MB, DDR, 128 bit",450 MHz,275 MHz,4 / 2 / 4 / 4
Mobility Radeon 9700 SE,M10,"Jun 1st, 2004",AGP 4x,"128 MB, DDR, 64 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
Mobility Radeon X600,M24,"Jun 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4
Mobility Radeon X600 SE,M24,"Jun 1st, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",400 MHz,250 MHz,4 / 2 / 4 / 4
FireGL V5100,R423,"May 1st, 2004",PCIe 1.0 x16,"128 MB, DDR, 256 bit",450 MHz,350 MHz,12 / 6 / 12 / 12
Radeon X800 PRO,R423,"May 1st, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",475 MHz,450 MHz,12 / 6 / 12 / 12
Radeon X800 PRO AGP,R420,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",475 MHz,450 MHz,12 / 6 / 12 / 12
Radeon X800 XL AGP,R430,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,500 MHz,16 / 6 / 16 / 16
Radeon X800 XT Platinum AGP,R420,"May 1st, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",520 MHz,560 MHz,16 / 6 / 16 / 16
GMA 900,Grantsdale,"Jun 1st, 2004",FSB,System Shared,333 MHz,System Shared,4 / 0 / 4 / 4
M9125 PCIe x16,PX-A1,Unknown,PCIe 1.0 x16,"512 MB, DDR2, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2
QID,MP-A4,"Dec 17th, 2004",AGP 8x,"256 MB, DDR, 128 bit",250 MHz,300 MHz,2 / 2 / 8 / 2
QID LP PCI,MP-A4,"Dec 17th, 2004",PCI-X,"128 MB, DDR, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2
QID LP PCIe,MP-A4,"Dec 17th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",250 MHz,300 MHz,2 / 2 / 8 / 2
QID PRO,MP-A4,"Dec 17th, 2004",PCI-X,"256 MB, DDR, 64 bit",250 MHz,300 MHz,2 / 2 / 8 / 2
GeForce 6200 SE TurboCache,NV44,"Dec 15th, 2004",PCIe 1.0 x16,"64 MB, DDR, 32 bit",350 MHz,250 MHz,4 / 3 / 4 / 2
GeForce 6200 TurboCache,NV44B,"Dec 15th, 2004",AGP 4x,"64 MB, DDR, 64 bit",350 MHz,250 MHz,4 / 3 / 4 / 2
GeForce 6600 GT AGP,NV43,"Nov 14th, 2004",AGP 8x,"128 MB, GDDR3, 128 bit",500 MHz,475 MHz,8 / 3 / 8 / 4
GeForce 6610 XL,NV43,"Nov 14th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,400 MHz,8 / 3 / 8 / 4
GeForce 6700 XL,NV43,"Nov 14th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",525 MHz,550 MHz,8 / 3 / 8 / 4
GeForce 6800,NV41,"Nov 8th, 2004",PCIe 1.0 x16,"256 MB, DDR, 256 bit",325 MHz,300 MHz,12 / 5 / 12 / 12
GeForce Go 6800,NV41,"Nov 8th, 2004",MXM-III,"256 MB, GDDR3, 256 bit",300 MHz,550 MHz,12 / 5 / 12 / 12
GeForce 6100,C51,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6100 + nForce 400,C61,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6100 + nForce 405,C61,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6100 + nForce 420,C61,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6100 + nForce 430,C61,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6150,C51,"Oct 11th, 2004",PCI,System Shared,475 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6150 LE,C51,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6150 SE + nForce 430,C61,"Oct 11th, 2004",PCI,System Shared,425 MHz,System Shared,2 / 1 / 1 / 1
GeForce 6200,NV43,"Oct 11th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",300 MHz,275 MHz,4 / 3 / 2 / 4
GeForce 6200 LE AGP 512 MB,NV44,"Oct 11th, 2004",AGP 8x,"512 MB, DDR2, 128 bit",300 MHz,275 MHz,4 / 3 / 4 / 2
GeForce 6200 LE PCI,NV43,"Oct 11th, 2004",PCI,"256 MB, DDR, 64 bit",300 MHz,266 MHz,4 / 3 / 4 / 2
GeForce FX 5700 EP,NV36,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 64 bit",425 MHz,200 MHz,4 / 3 / 4 / 4
GeForce FX 5700 VE,NV36,"Sep 1st, 2004",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,200 MHz,4 / 3 / 4 / 4
GeForce 6600,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"256 MB, DDR, 128 bit",300 MHz,250 MHz,8 / 3 / 8 / 4
GeForce 6600 AGP,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, DDR, 128 bit",300 MHz,250 MHz,8 / 3 / 8 / 4
GeForce 6600 GT,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",500 MHz,500 MHz,8 / 3 / 8 / 4
GeForce 6600 GT Dual,NV43,"Aug 12th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",500 MHz,560 MHz,8 / 3 / 8 / 4
Quadro FX 1300,NV38,"Aug 9th, 2004",PCIe 1.0 x16,"128 MB, DDR, 256 bit",350 MHz,275 MHz,4 / 3 / 8 / 4
Quadro FX 1400,NV41,"Aug 9th, 2004",PCIe 1.0 x16,"128 MB, DDR, 256 bit",350 MHz,300 MHz,12 / 5 / 12 / 8
Quadro FX 540,NV43,"Aug 9th, 2004",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",300 MHz,250 MHz,8 / 4 / 8 / 8
Quadro FX Go540,NV43,"Aug 9th, 2004",MXM-II,"128 MB, DDR, 128 bit",300 MHz,225 MHz,8 / 4 / 8 / 8
GeForce 6800 Ultra,NV45,"Jul 26th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",425 MHz,550 MHz,16 / 6 / 16 / 16
GeForce 6800 LE,NV40,"Jul 21st, 2004",AGP 8x,"128 MB, DDR, 256 bit",300 MHz,350 MHz,8 / 4 / 8 / 8
Quadro4 400 NVS PCI,NV17,"Jul 16th, 2004",PCI,"64 MB, DDR, 128 bit",220 MHz,166 MHz,2 / 0 / 4 / 2
Quadro FX 330,NV37,"Jun 28th, 2004",PCIe 1.0 x16,"64 MB, DDR2, 64 bit",250 MHz,200 MHz,4 / 2 / 4 / 4
Quadro FX 3400,NV45,"Jun 28th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,450 MHz,12 / 5 / 12 / 12
GeForce 6800 GT,NV45,"Jun 8th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16
GeForce 6800 GT Dual,NV45,"Jun 8th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16
Quadro NVS 280 AGP,NV34,"May 25th, 2004",AGP 8x,"64 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4
Quadro NVS 280 PCIe,NV37,"May 25th, 2004",PCIe 1.0 x16,"64 MB, DDR, 128 bit",275 MHz,250 MHz,4 / 2 / 4 / 4
Quadro FX 4000 SDI,NV41,"Apr 19th, 2004",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",425 MHz,500 MHz,12 / 5 / 12 / 12
GeForce 6800 GT,NV40,"Apr 14th, 2004",AGP 8x,"128 MB, DDR, 256 bit",350 MHz,250 MHz,16 / 6 / 16 / 16
GeForce 6800 GT DDL,NV40,"Apr 14th, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",350 MHz,500 MHz,16 / 6 / 16 / 16
GeForce 6800 Ultra,NV40,"Apr 14th, 2004",AGP 8x,"256 MB, GDDR3, 256 bit",425 MHz,550 MHz,16 / 6 / 16 / 16
GeForce 6800 Ultra DDL,NV40,"Apr 14th, 2004",AGP Pro 8x,"256 MB, GDDR3, 256 bit",400 MHz,550 MHz,16 / 6 / 16 / 16
Playstation Portable GPU 90nm,RE+SE-90nm,"Dec 12th, 2004",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5
All-In-Wonder 2006 PCIe Edition,RV515,"Dec 22nd, 2005",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",450 MHz,400 MHz,4 / 2 / 4 / 4
Radeon X1800 CrossFire Edition,R520,"Dec 20th, 2005",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,700 MHz,16 / 8 / 16 / 16
Radeon X1300,RV515,"Dec 1st, 2005",PCIe 1.0 x16,"256 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4
Radeon X1300 AGP,RV515,"Dec 1st, 2005",AGP 8x,"256 MB, DDR, 128 bit",450 MHz,250 MHz,4 / 2 / 4 / 4
Xbox 360 GPU 90nm,Xenos Xenon,"Nov 22nd, 2005",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8
Mobility Radeon X300,M22,"Nov 1st, 2005",PCIe 1.0 x16,"128 MB, DDR, 64 bit",350 MHz,250 MHz,4 / 2 / 4 / 4
